M5 Raw CSV Pipeline Run — 2026-03-22T21:51:24.848918
============================================================
Running data cleaning pipeline...
  Cleaned calendar: 1,969 rows
  Cleaned sales: 3,049 rows
  Cleaned prices: 6,841,121 rows

Step 1: Loaded 4,702,895 records, 3049 SKUs
  Date range: 2011-01-29 → 2016-04-24

Step 2: Feature engineering → 4,702,895 records, 14 features

Step 3: Trained 3049/3049 models
  CA_1_FOODS_1_077: MAE=0.42, RMSE=0.66, R²=-0.019
  CA_1_FOODS_1_078: MAE=0.60, RMSE=0.84, R²=-0.065
  CA_1_FOODS_1_079: MAE=0.10, RMSE=0.28, R²=-0.002
  CA_1_FOODS_1_080: MAE=0.85, RMSE=1.08, R²=0.015
  CA_1_FOODS_1_081: MAE=1.31, RMSE=1.82, R²=-0.014
  CA_1_FOODS_1_082: MAE=3.34, RMSE=4.83, R²=-0.042
  CA_1_FOODS_1_083: MAE=1.57, RMSE=2.18, R²=0.045
  CA_1_FOODS_1_084: MAE=0.12, RMSE=0.32, R²=0.003
  CA_1_FOODS_1_085: MAE=4.17, RMSE=5.44, R²=0.147
  CA_1_FOODS_1_086: MAE=3.48, RMSE=4.13, R²=0.176
  CA_1_FOODS_1_087: MAE=2.11, RMSE=2.81, R²=-0.071
  CA_1_FOODS_1_088: MAE=0.98, RMSE=1.41, R²=0.183
  CA_1_FOODS_1_089: MAE=0.62, RMSE=0.68, R²=-0.303
  CA_1_FOODS_1_090: MAE=0.82, RMSE=1.11, R²=-0.024
  CA_1_FOODS_1_091: MAE=0.74, RMSE=1.06, R²=0.181
  CA_1_FOODS_1_092: MAE=0.83, RMSE=1.19, R²=-0.061
  CA_1_FOODS_1_093: MAE=0.40, RMSE=0.80, R²=0.007
  CA_1_FOODS_1_094: MAE=0.99, RMSE=1.80, R²=-0.048
  CA_1_FOODS_1_095: MAE=0.31, RMSE=0.49, R²=-0.066
  CA_1_FOODS_1_096: MAE=0.55, RMSE=0.79, R²=-0.047
  CA_1_FOODS_1_097: MAE=1.53, RMSE=2.03, R²=0.010
  CA_1_FOODS_1_098: MAE=0.43, RMSE=0.94, R²=-0.055
  CA_1_FOODS_1_099: MAE=5.01, RMSE=6.48, R²=0.174
  CA_1_FOODS_1_101: MAE=0.76, RMSE=1.16, R²=0.117
  CA_1_FOODS_1_102: MAE=0.25, RMSE=0.38, R²=-0.153
  CA_1_FOODS_1_103: MAE=1.23, RMSE=1.50, R²=0.003
  CA_1_FOODS_1_104: MAE=1.70, RMSE=2.37, R²=-0.024
  CA_1_FOODS_1_105: MAE=0.81, RMSE=0.95, R²=-0.309
  CA_1_FOODS_1_106: MAE=1.15, RMSE=1.72, R²=-0.006
  CA_1_FOODS_1_107: MAE=0.31, RMSE=0.50, R²=0.018
  CA_1_FOODS_1_108: MAE=0.92, RMSE=1.28, R²=0.031
  CA_1_FOODS_1_109: MAE=0.60, RMSE=0.85, R²=0.171
  CA_1_FOODS_1_110: MAE=2.96, RMSE=3.85, R²=0.436
  CA_1_FOODS_1_111: MAE=0.65, RMSE=0.85, R²=-0.018
  CA_1_FOODS_1_112: MAE=1.73, RMSE=2.18, R²=0.044
  CA_1_FOODS_1_113: MAE=2.72, RMSE=3.35, R²=-0.075
  CA_1_FOODS_1_114: MAE=0.83, RMSE=1.11, R²=0.069
  CA_1_FOODS_1_115: MAE=0.89, RMSE=1.05, R²=-0.642
  CA_1_FOODS_1_116: MAE=0.64, RMSE=1.07, R²=0.104
  CA_1_FOODS_1_117: MAE=0.91, RMSE=1.28, R²=0.151
  CA_1_FOODS_1_118: MAE=1.58, RMSE=2.11, R²=0.015
  CA_1_FOODS_1_119: MAE=0.72, RMSE=0.97, R²=-0.039
  CA_1_FOODS_1_120: MAE=1.32, RMSE=1.58, R²=-0.122
  CA_1_FOODS_1_121: MAE=0.99, RMSE=1.42, R²=-0.003
  CA_1_FOODS_1_122: MAE=1.24, RMSE=1.62, R²=-0.060
  CA_1_FOODS_1_123: MAE=0.85, RMSE=1.15, R²=-0.001
  CA_1_FOODS_1_124: MAE=0.88, RMSE=1.46, R²=0.125
  CA_1_FOODS_1_125: MAE=0.82, RMSE=1.12, R²=-0.045
  CA_1_FOODS_1_126: MAE=0.75, RMSE=1.24, R²=0.101
  CA_1_FOODS_1_127: MAE=1.18, RMSE=1.55, R²=0.002
  CA_1_FOODS_1_128: MAE=0.76, RMSE=1.14, R²=0.028
  CA_1_FOODS_1_129: MAE=0.72, RMSE=0.99, R²=-0.110
  CA_1_FOODS_1_130: MAE=1.66, RMSE=2.14, R²=0.046
  CA_1_FOODS_1_131: MAE=0.76, RMSE=0.97, R²=-0.123
  CA_1_FOODS_1_132: MAE=0.87, RMSE=1.16, R²=-0.139
  CA_1_FOODS_1_133: MAE=0.59, RMSE=0.72, R²=-0.771
  CA_1_FOODS_1_134: MAE=1.10, RMSE=1.40, R²=0.018
  CA_1_FOODS_1_135: MAE=0.52, RMSE=0.91, R²=0.083
  CA_1_FOODS_1_136: MAE=0.73, RMSE=0.97, R²=0.006
  CA_1_FOODS_1_137: MAE=1.59, RMSE=2.30, R²=0.266
  CA_1_FOODS_1_138: MAE=0.64, RMSE=1.00, R²=0.073
  CA_1_FOODS_1_139: MAE=2.30, RMSE=2.84, R²=0.036
  CA_1_FOODS_1_140: MAE=0.89, RMSE=1.27, R²=0.003
  CA_1_FOODS_1_141: MAE=0.83, RMSE=1.08, R²=-0.007
  CA_1_FOODS_1_142: MAE=1.05, RMSE=1.54, R²=-0.048
  CA_1_FOODS_1_143: MAE=0.95, RMSE=1.44, R²=0.006
  CA_1_FOODS_1_144: MAE=0.88, RMSE=1.10, R²=-0.008
  CA_1_FOODS_1_145: MAE=1.43, RMSE=1.74, R²=-0.080
  CA_1_FOODS_1_146: MAE=0.88, RMSE=1.22, R²=0.075
  CA_1_FOODS_1_147: MAE=0.76, RMSE=0.98, R²=-0.075
  CA_1_FOODS_1_148: MAE=0.34, RMSE=0.46, R²=-0.117
  CA_1_FOODS_1_149: MAE=1.17, RMSE=1.56, R²=-0.008
  CA_1_FOODS_1_150: MAE=0.92, RMSE=1.27, R²=0.221
  CA_1_FOODS_1_151: MAE=0.51, RMSE=0.73, R²=0.125
  CA_1_FOODS_1_152: MAE=0.88, RMSE=1.15, R²=0.132
  CA_1_FOODS_1_153: MAE=1.53, RMSE=1.97, R²=0.078
  CA_1_FOODS_1_154: MAE=2.84, RMSE=4.10, R²=-0.044
  CA_1_FOODS_1_155: MAE=1.79, RMSE=2.22, R²=-0.024
  CA_1_FOODS_1_156: MAE=0.89, RMSE=1.23, R²=-0.027
  CA_1_FOODS_1_157: MAE=0.48, RMSE=0.65, R²=-0.035
  CA_1_FOODS_1_158: MAE=0.65, RMSE=0.82, R²=0.017
  CA_1_FOODS_1_159: MAE=0.39, RMSE=0.65, R²=-0.011
  CA_1_FOODS_1_160: MAE=0.69, RMSE=0.88, R²=-0.000
  CA_1_FOODS_1_161: MAE=4.05, RMSE=5.52, R²=0.202
  CA_1_FOODS_1_162: MAE=2.29, RMSE=2.84, R²=-0.157
  CA_1_FOODS_1_163: MAE=2.32, RMSE=2.86, R²=-1.732
  CA_1_FOODS_1_164: MAE=0.14, RMSE=0.32, R²=0.021
  CA_1_FOODS_1_166: MAE=1.35, RMSE=1.81, R²=0.360
  CA_1_FOODS_1_167: MAE=0.79, RMSE=1.02, R²=-0.046
  CA_1_FOODS_1_168: MAE=0.82, RMSE=1.07, R²=0.012
  CA_1_FOODS_1_169: MAE=0.65, RMSE=0.92, R²=0.004
  CA_1_FOODS_1_170: MAE=1.31, RMSE=2.07, R²=0.302
  CA_1_FOODS_1_171: MAE=0.83, RMSE=1.31, R²=-0.049
  CA_1_FOODS_1_172: MAE=1.85, RMSE=2.37, R²=-0.075
  CA_1_FOODS_1_173: MAE=3.34, RMSE=4.85, R²=0.089
  CA_1_FOODS_1_174: MAE=0.74, RMSE=1.09, R²=0.176
  CA_1_FOODS_1_175: MAE=0.87, RMSE=1.18, R²=0.012
  CA_1_FOODS_1_176: MAE=0.56, RMSE=0.77, R²=0.006
  CA_1_FOODS_1_177: MAE=0.90, RMSE=1.24, R²=-0.064
  CA_1_FOODS_1_178: MAE=0.73, RMSE=0.94, R²=0.032
  CA_1_FOODS_1_179: MAE=0.91, RMSE=1.02, R²=-0.485
  CA_1_FOODS_1_180: MAE=1.13, RMSE=1.66, R²=0.268
  CA_1_FOODS_1_181: MAE=2.19, RMSE=3.30, R²=0.016
  CA_1_FOODS_1_182: MAE=0.99, RMSE=1.42, R²=0.004
  CA_1_FOODS_1_183: MAE=1.73, RMSE=2.18, R²=0.135
  CA_1_FOODS_1_184: MAE=1.83, RMSE=2.84, R²=-0.038
  CA_1_FOODS_1_185: MAE=1.12, RMSE=1.52, R²=0.034
  CA_1_FOODS_1_186: MAE=0.71, RMSE=0.95, R²=-0.004
  CA_1_FOODS_1_187: MAE=0.97, RMSE=1.33, R²=0.000
  CA_1_FOODS_1_188: MAE=1.17, RMSE=1.48, R²=0.014
  CA_1_FOODS_1_189: MAE=0.70, RMSE=1.11, R²=-0.019
  CA_1_FOODS_1_190: MAE=1.70, RMSE=2.32, R²=0.053
  CA_1_FOODS_1_191: MAE=0.33, RMSE=0.53, R²=0.012
  CA_1_FOODS_1_192: MAE=0.66, RMSE=1.01, R²=0.277
  CA_1_FOODS_1_193: MAE=1.14, RMSE=1.74, R²=-0.040
  CA_1_FOODS_1_194: MAE=1.32, RMSE=1.68, R²=0.096
  CA_1_FOODS_1_195: MAE=0.97, RMSE=1.30, R²=0.080
  CA_1_FOODS_1_196: MAE=1.15, RMSE=1.65, R²=-0.006
  CA_1_FOODS_1_197: MAE=0.53, RMSE=0.70, R²=-0.418
  CA_1_FOODS_1_198: MAE=0.84, RMSE=1.54, R²=0.026
  CA_1_FOODS_1_199: MAE=0.82, RMSE=1.16, R²=-0.010
  CA_1_FOODS_1_200: MAE=4.31, RMSE=6.01, R²=0.220
  CA_1_FOODS_1_201: MAE=1.20, RMSE=1.57, R²=0.250
